,language_id,id,cladesOrder,clade_id,iso_code,first_node_depth,proximate_node_depth,proximate_node_posterior_probability,ascii_name,utf8_name,description,earliestTimeDepthBound,latestTimeDepthBound,progress,author,foss_stat,glottocode,level0,level1,level2,level3,low_stat,representative,reviewer,rfcWebPath1,rfcWebPath2,soundcompcode,variety,sortRankInClade,sndCompLevel0,sndCompLevel1,sndCompLevel2,sndCompLevel3,entryTimeframe,originalAsciiName,historical,notInExport,distribution,logNormalMean,logNormalOffset,logNormalStDev,normalMean,normalStDev,uniformLower,uniformUpper,latitude,longitude,exampleLanguage,fragmentary,nativeScriptIsRtl,loc_justification
348,272,51746,2,24,asm,5520,650,1,Assamese,Assamese,,NA,NA,2,Patrycja Markus,FALSE,assa1263,6,1,0,0,FALSE,FALSE,NA,,NA,NA,,25,0,0,0,0,NA,,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,26.23,92.52,FALSE,FALSE,FALSE,"Set at Raha, Nagaon province, provenance of the informant from whom the data were elicited"
347,272,51745,3,33,asm,6981,650,1,Assamese,Assamese,,NA,NA,2,Patrycja Markus,FALSE,assa1263,6,1,0,0,FALSE,FALSE,NA,,NA,NA,,25,0,0,0,0,NA,,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,26.23,92.52,FALSE,FALSE,FALSE,"Set at Raha, Nagaon province, provenance of the informant from whom the data were elicited"
174,128,51804,2,23,ave,5520,4150,1,AvestanYounger,Avestan: Younger,,NA,NA,5,Thomas Jügel,FALSE,aves1237,6,3,0,0,FALSE,TRUE,NA,,NA,NA,,10,7,0,0,0,NA,Avestan,TRUE,FALSE,O,350,2550,0.8,NA,NA,NA,NA,31.54,53.63,FALSE,FALSE,FALSE,"It is uncertain where Avestan was originally spoken. For further discussion, cf. Humbach, Helmut, Josef Elfenbein & Prods Oktor Skjærvø. 1991. The Gāthās of Zarathushtra and other Old Avestan Texts. Part I: Introduction – Text and Translation Heidelberg: Carl Winter Universitätsverlag"
173,128,51803,3,33,ave,6981,4150,1,AvestanYounger,Avestan: Younger,,NA,NA,5,Thomas Jügel,FALSE,aves1237,6,3,0,0,FALSE,TRUE,NA,,NA,NA,,10,7,0,0,0,NA,Avestan,TRUE,FALSE,O,350,2550,0.8,NA,NA,NA,NA,31.54,53.63,FALSE,FALSE,FALSE,"It is uncertain where Avestan was originally spoken. For further discussion, cf. Humbach, Helmut, Josef Elfenbein & Prods Oktor Skjærvø. 1991. The Gāthās of Zarathushtra and other Old Avestan Texts. Part I: Introduction – Text and Translation Heidelberg: Carl Winter Universitätsverlag"
356,278,51820,2,23,xbc,5520,3250,0.24,Bactrian,Bactrian,,NA,NA,5,Nicholas Sims-Williams,FALSE,bact1239,6,3,0,0,FALSE,FALSE,NA,,NA,NA,,55,0,0,0,0,NA,,TRUE,FALSE,N,NA,NA,NA,1400,25,NA,NA,36.75,66.9,FALSE,FALSE,FALSE,"Set on Balkh, ancient capital of Bactria."
355,278,51819,3,33,xbc,6981,3250,0.24,Bactrian,Bactrian,,NA,NA,5,Nicholas Sims-Williams,FALSE,bact1239,6,3,0,0,FALSE,FALSE,NA,,NA,NA,,55,0,0,0,0,NA,,TRUE,FALSE,N,NA,NA,NA,1400,25,NA,NA,36.75,66.9,FALSE,FALSE,FALSE,"Set on Balkh, ancient capital of Bactria."
328,257,51848,2,23,bqi,5520,850,0.96,Bakhtiari,Bakhtiari,,NA,NA,5,Mortaza Taheri-Ardali and Erik Anonby,FALSE,bakh1245,6,3,0,0,FALSE,FALSE,NA,,NA,NA,,83,0,0,0,0,NA,,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,32.02,50.66,FALSE,FALSE,FALSE,"These are the coordinates for the town of Ardal, where the language data were collected."
327,257,51847,3,33,bqi,6981,850,0.96,Bakhtiari,Bakhtiari,,NA,NA,5,Mortaza Taheri-Ardali and Erik Anonby,FALSE,bakh1245,6,3,0,0,FALSE,FALSE,NA,,NA,NA,,83,0,0,0,0,NA,,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,32.02,50.66,FALSE,FALSE,FALSE,"These are the coordinates for the town of Ardal, where the language data were collected."
352,274,51840,2,23,bgn,5520,1500,1,BalochiSistani,Balochi: Sistani,,NA,NA,5,Maryam Nourzaei and Shirin Adibifar,FALSE,west2368,6,3,0,0,FALSE,FALSE,NA,,NA,NA,Sistani Balochi,79,0,0,0,0,NA,,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,29.45,60.88,FALSE,FALSE,FALSE,"Zahedan, Iran, main urban centre in which this variety is spoken"
351,274,51839,3,33,bgn,6981,1500,1,BalochiSistani,Balochi: Sistani,,NA,NA,5,Maryam Nourzaei and Shirin Adibifar,FALSE,west2368,6,3,0,0,FALSE,FALSE,NA,,NA,NA,Sistani Balochi,79,0,0,0,0,NA,,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,29.45,60.88,FALSE,FALSE,FALSE,"Zahedan, Iran, main urban centre in which this variety is spoken"
9,16,51940,3,11,bel,3663,200,1,Belarusian,Belarusian,Standard Belarusian,NA,NA,5,Lechosław Jocz,FALSE,bela1254,7,2,3,0,FALSE,FALSE,NA,http://www.slounik.org/search?search=,NA,NA,Standard,55,3,1,0,0,NA,Belarusian,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,53.9,27.57,FALSE,FALSE,FALSE,"Set on Minsk, as the capital of Belarus"
10,16,51941,2,12,bel,3663,200,1,Belarusian,Belarusian,Standard Belarusian,NA,NA,5,Lechosław Jocz,FALSE,bela1254,7,2,3,0,FALSE,FALSE,NA,http://www.slounik.org/search?search=,NA,NA,Standard,55,3,1,0,0,NA,Belarusian,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,53.9,27.57,FALSE,FALSE,FALSE,"Set on Minsk, as the capital of Belarus"
11,16,51942,1,47,bel,3663,200,1,Belarusian,Belarusian,Standard Belarusian,NA,NA,5,Lechosław Jocz,FALSE,bela1254,7,2,3,0,FALSE,FALSE,NA,http://www.slounik.org/search?search=,NA,NA,Standard,55,3,1,0,0,NA,Belarusian,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,53.9,27.57,FALSE,FALSE,FALSE,"Set on Minsk, as the capital of Belarus"
5,10,51748,2,24,ben,5520,1500,0.71,Bengali,Bengali,,NA,NA,5,Patrycja Markus,FALSE,beng1280,6,1,0,0,FALSE,FALSE,NA,http://dsalsrv02.uchicago.edu/cgi-bin/app/biswas-bengali_query.py?searchhws=yes&qs=,NA,NA,,28,8,0,0,0,NA,Bengali,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,22.57,88.36,FALSE,FALSE,FALSE,"Set on Kolkata (Calcutta), capital of the Indian state of West Bengal, and a cultural centre where Bengali is the dominant language."
4,10,51747,3,33,ben,6981,1500,0.71,Bengali,Bengali,,NA,NA,5,Patrycja Markus,FALSE,beng1280,6,1,0,0,FALSE,FALSE,NA,http://dsalsrv02.uchicago.edu/cgi-bin/app/biswas-bengali_query.py?searchhws=yes&qs=,NA,NA,,28,8,0,0,0,NA,Bengali,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,22.57,88.36,FALSE,FALSE,FALSE,"Set on Kolkata (Calcutta), capital of the Indian state of West Bengal, and a cultural centre where Bengali is the dominant language."
277,222,51754,2,24,bho,5520,550,0.99,Bhojpuri,Bhojpuri,Gorakhpuri,NA,NA,5,Ganesh Gupta,FALSE,bhoj1244,6,1,0,0,FALSE,FALSE,NA,,NA,NA,,43,0,0,0,0,NA,,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,26.76,83.37,FALSE,FALSE,FALSE,"Set on Gorakhpur, the town where the IE-CoR Bhojpuri data were elicited, and the centre of the Gorakhpuri dialect, one of the main dialects of Bhojpuri"
276,222,51753,3,33,bho,6981,550,0.99,Bhojpuri,Bhojpuri,Gorakhpuri,NA,NA,5,Ganesh Gupta,FALSE,bhoj1244,6,1,0,0,FALSE,FALSE,NA,,NA,NA,,43,0,0,0,0,NA,,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,26.76,83.37,FALSE,FALSE,FALSE,"Set on Gorakhpur, the town where the IE-CoR Bhojpuri data were elicited, and the centre of the Gorakhpuri dialect, one of the main dialects of Bhojpuri"
289,234,52127,3,15,bre,4889,400,1,BretonGwened,Breton: Gwened,,NA,NA,5,Loïc Cheveau,FALSE,vann1244,10,2,3,0,FALSE,FALSE,NA,,NA,NA,Gwened (Vannetais) dialect,21,0,0,0,0,NA,,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,47.66,-2.76,FALSE,FALSE,FALSE,"Set on Vannes, historical capital of Gwened"
290,234,52128,2,17,bre,4889,400,1,BretonGwened,Breton: Gwened,,NA,NA,5,Loïc Cheveau,FALSE,vann1244,10,2,3,0,FALSE,FALSE,NA,,NA,NA,Gwened (Vannetais) dialect,21,0,0,0,0,NA,,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,47.66,-2.76,FALSE,FALSE,FALSE,"Set on Vannes, historical capital of Gwened"
291,234,52129,1,48,bre,4889,400,1,BretonGwened,Breton: Gwened,,NA,NA,5,Loïc Cheveau,FALSE,vann1244,10,2,3,0,FALSE,FALSE,NA,,NA,NA,Gwened (Vannetais) dialect,21,0,0,0,0,NA,,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,47.66,-2.76,FALSE,FALSE,FALSE,"Set on Vannes, historical capital of Gwened"
280,229,52130,3,15,bre,4889,400,1,BretonTreger,Breton: Treger,,NA,NA,5,Steve Hewitt,FALSE,treg1244,10,2,3,0,FALSE,FALSE,NA,,NA,NA,Treger dialect,22,0,0,0,0,NA,,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,48.79,-3.23,FALSE,FALSE,FALSE,"Set on Tréguier, capital of the historical region of Treger."
281,229,52131,2,17,bre,4889,400,1,BretonTreger,Breton: Treger,,NA,NA,5,Steve Hewitt,FALSE,treg1244,10,2,3,0,FALSE,FALSE,NA,,NA,NA,Treger dialect,22,0,0,0,0,NA,,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,48.79,-3.23,FALSE,FALSE,FALSE,"Set on Tréguier, capital of the historical region of Treger."
282,229,52132,1,48,bre,4889,400,1,BretonTreger,Breton: Treger,,NA,NA,5,Steve Hewitt,FALSE,treg1244,10,2,3,0,FALSE,FALSE,NA,,NA,NA,Treger dialect,22,0,0,0,0,NA,,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,48.79,-3.23,FALSE,FALSE,FALSE,"Set on Tréguier, capital of the historical region of Treger."
6,15,51874,3,11,bul,3663,500,0.28,Bulgarian,Bulgarian,Standard Bulgarian,NA,NA,5,Lechosław Jocz,FALSE,bulg1262,7,2,1,0,FALSE,FALSE,NA,https://rechnik.chitanka.info/w/,NA,NA,Standard,20,3,3,0,0,NA,Bulgarian,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,42.7,23.33,FALSE,FALSE,FALSE,"Set on Sofia, as the capital of Bulgaria"
7,15,51875,2,12,bul,3663,500,0.28,Bulgarian,Bulgarian,Standard Bulgarian,NA,NA,5,Lechosław Jocz,FALSE,bulg1262,7,2,1,0,FALSE,FALSE,NA,https://rechnik.chitanka.info/w/,NA,NA,Standard,20,3,3,0,0,NA,Bulgarian,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,42.7,23.33,FALSE,FALSE,FALSE,"Set on Sofia, as the capital of Bulgaria"
8,15,51876,1,45,bul,3663,500,0.28,Bulgarian,Bulgarian,Standard Bulgarian,NA,NA,5,Lechosław Jocz,FALSE,bulg1262,7,2,1,0,FALSE,FALSE,NA,https://rechnik.chitanka.info/w/,NA,NA,Standard,20,3,3,0,0,NA,Bulgarian,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,42.7,23.33,FALSE,FALSE,FALSE,"Set on Sofia, as the capital of Bulgaria"
12,17,52085,3,5,cat,5564,850,1,Catalan,Catalan,,NA,NA,5,Kim Schulte,FALSE,stan1289,9,1,1,0,FALSE,FALSE,NA,,NA,NA,Standard Catalan.,75,2,1,0,0,NA,Catalan,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,41.83,1.54,FALSE,FALSE,FALSE,"Set roughly on the geographical centre of Catalonia, given that standard Catalan (the variety represented in IE-CoR) is purposely based not on a single dialect."
14,17,52087,1,34,cat,5564,850,1,Catalan,Catalan,,NA,NA,5,Kim Schulte,FALSE,stan1289,9,1,1,0,FALSE,FALSE,NA,,NA,NA,Standard Catalan.,75,2,1,0,0,NA,Catalan,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,41.83,1.54,FALSE,FALSE,FALSE,"Set roughly on the geographical centre of Catalonia, given that standard Catalan (the variety represented in IE-CoR) is purposely based not on a single dialect."
13,17,52086,2,51,cat,5564,850,1,Catalan,Catalan,,NA,NA,5,Kim Schulte,FALSE,stan1289,9,1,1,0,FALSE,FALSE,NA,,NA,NA,Standard Catalan.,75,2,1,0,0,NA,Catalan,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,41.83,1.54,FALSE,FALSE,FALSE,"Set roughly on the geographical centre of Catalonia, given that standard Catalan (the variety represented in IE-CoR) is purposely based not on a single dialect."
175,129,3046,3,31,xcl,5310,2650,1,ClassicalArmenian,Armenian: Classical,,NA,NA,5,Martin Macak,FALSE,clas1249,4,0,0,0,FALSE,TRUE,NA,,NA,NA,,10,9,3,0,0,NA,Classical_Armenian,TRUE,FALSE,N,NA,NA,NA,1550,25,NA,NA,40.173,44.293,FALSE,FALSE,FALSE,"Set in present day Ejmiatsin, formerly also known as Vagharshapat, which was the capital of the Kingdom of Greater Armenia during the period of the earliest inscriptional and literary attestations of Classical Armenian."
15,18,51925,3,11,ces,3663,400,0.99,Czech,Czech,Standard Czech,NA,NA,5,Lechosław Jocz,FALSE,czec1258,7,2,2,0,FALSE,FALSE,NA,http://ssjc.ujc.cas.cz/search.php?hledej=Hledat&hsubstr=no&heslo=,NA,NA,Standard,85,3,2,0,0,NA,Czech,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,50.09,14.42,FALSE,FALSE,FALSE,"Set on Prague, as the capital of the Czech Republic"
16,18,51926,2,12,ces,3663,400,0.99,Czech,Czech,Standard Czech,NA,NA,5,Lechosław Jocz,FALSE,czec1258,7,2,2,0,FALSE,FALSE,NA,http://ssjc.ujc.cas.cz/search.php?hledej=Hledat&hsubstr=no&heslo=,NA,NA,Standard,85,3,2,0,0,NA,Czech,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,50.09,14.42,FALSE,FALSE,FALSE,"Set on Prague, as the capital of the Czech Republic"
17,18,51927,1,46,ces,3663,400,0.99,Czech,Czech,Standard Czech,NA,NA,5,Lechosław Jocz,FALSE,czec1258,7,2,2,0,FALSE,FALSE,NA,http://ssjc.ujc.cas.cz/search.php?hledej=Hledat&hsubstr=no&heslo=,NA,NA,Standard,85,3,2,0,0,NA,Czech,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,50.09,14.42,FALSE,FALSE,FALSE,"Set on Prague, as the capital of the Czech Republic"
247,207,52040,3,5,dlm,5564,1100,0.24,DalmatianVegliote,Dalmatian: Vegliote,,NA,NA,5,Nikola Vuletić,FALSE,dalm1243,9,1,1,0,FALSE,FALSE,NA,,NA,NA,,29,0,0,0,0,NA,Dalmatian,TRUE,FALSE,N,NA,NA,NA,130,15,NA,NA,45.03,14.58,FALSE,FALSE,FALSE,"Set on the town of Krk (Italian name 'Veglia'), on the island of the same name, where the Vegliote variety was spoken."
249,207,52042,1,34,dlm,5564,1100,0.24,DalmatianVegliote,Dalmatian: Vegliote,,NA,NA,5,Nikola Vuletić,FALSE,dalm1243,9,1,1,0,FALSE,FALSE,NA,,NA,NA,,29,0,0,0,0,NA,Dalmatian,TRUE,FALSE,N,NA,NA,NA,130,15,NA,NA,45.03,14.58,FALSE,FALSE,FALSE,"Set on the town of Krk (Italian name 'Veglia'), on the island of the same name, where the Vegliote variety was spoken."
248,207,52041,2,51,dlm,5564,1100,0.24,DalmatianVegliote,Dalmatian: Vegliote,,NA,NA,5,Nikola Vuletić,FALSE,dalm1243,9,1,1,0,FALSE,FALSE,NA,,NA,NA,,29,0,0,0,0,NA,Dalmatian,TRUE,FALSE,N,NA,NA,NA,130,15,NA,NA,45.03,14.58,FALSE,FALSE,FALSE,"Set on the town of Krk (Italian name 'Veglia'), on the island of the same name, where the Vegliote variety was spoken."
18,20,51980,3,1,dan,4889,400,1,Danish,Danish,,NA,NA,5,Tonya Kim Dewey-Findell,FALSE,dani1285,8,2,1,0,FALSE,FALSE,NA,http://ordnet.dk/ddo/ordbog?query=,NA,NA,"Standard Danish, as spoken around Copenhagen.",70,1,2,0,0,NA,Danish,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,55.68,12.57,FALSE,FALSE,FALSE,"Set in Copenhagen, generally considered the region closest to the perceived 'standard' form of Danish."
20,20,51982,1,3,dan,4889,400,1,Danish,Danish,,NA,NA,5,Tonya Kim Dewey-Findell,FALSE,dani1285,8,2,1,0,FALSE,FALSE,NA,http://ordnet.dk/ddo/ordbog?query=,NA,NA,"Standard Danish, as spoken around Copenhagen.",70,1,2,0,0,NA,Danish,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,55.68,12.57,FALSE,FALSE,FALSE,"Set in Copenhagen, generally considered the region closest to the perceived 'standard' form of Danish."
19,20,51981,2,37,dan,4889,400,1,Danish,Danish,,NA,NA,5,Tonya Kim Dewey-Findell,FALSE,dani1285,8,2,1,0,FALSE,FALSE,NA,http://ordnet.dk/ddo/ordbog?query=,NA,NA,"Standard Danish, as spoken around Copenhagen.",70,1,2,0,0,NA,Danish,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,55.68,12.57,FALSE,FALSE,FALSE,"Set in Copenhagen, generally considered the region closest to the perceived 'standard' form of Danish."
360,280,51850,2,23,fay,5520,500,1,Delvari,Delvari,,NA,NA,5,Fatemeh Nemati,FALSE,sout2645,6,3,0,0,FALSE,FALSE,NA,,NA,NA,,85,0,0,0,0,NA,,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,28.75,51.07,FALSE,FALSE,FALSE,"Set on Delvar township, Bušehr province, Iran, main urban centre where this variety is spoken."
359,280,51849,3,33,fay,6981,500,1,Delvari,Delvari,,NA,NA,5,Fatemeh Nemati,FALSE,sout2645,6,3,0,0,FALSE,FALSE,NA,,NA,NA,,85,0,0,0,0,NA,,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,28.75,51.07,FALSE,FALSE,FALSE,"Set on Delvar township, Bušehr province, Iran, main urban centre where this variety is spoken."
21,21,52008,3,1,nld,4889,400,0.76,Dutch,Dutch,,NA,NA,5,Annemarie Verkerk,FALSE,dutc1256,8,2,2,NA,FALSE,FALSE,NA,http://www.etymologiebank.nl/trefwoord/,NA,NA,,35,1,1,0,0,NA,Dutch,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,52.145,4.73,FALSE,FALSE,FALSE,"Set on the approximage geographical centre of the Randstad, intermediate between the four main cities of Holland (Amsterdam. Rotterdam, The Hague and Utrecht), the region whose dialect was most influential in the development of modern standard Dutch."
23,21,52010,1,2,nld,4889,400,0.76,Dutch,Dutch,,NA,NA,5,Annemarie Verkerk,FALSE,dutc1256,8,2,2,NA,FALSE,FALSE,NA,http://www.etymologiebank.nl/trefwoord/,NA,NA,,35,1,1,0,0,NA,Dutch,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,52.145,4.73,FALSE,FALSE,FALSE,"Set on the approximage geographical centre of the Randstad, intermediate between the four main cities of Holland (Amsterdam. Rotterdam, The Hague and Utrecht), the region whose dialect was most influential in the development of modern standard Dutch."
22,21,52009,2,37,nld,4889,400,0.76,Dutch,Dutch,,NA,NA,5,Annemarie Verkerk,FALSE,dutc1256,8,2,2,NA,FALSE,FALSE,NA,http://www.etymologiebank.nl/trefwoord/,NA,NA,,35,1,1,0,0,NA,Dutch,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,52.145,4.73,FALSE,FALSE,FALSE,"Set on the approximage geographical centre of the Randstad, intermediate between the four main cities of Holland (Amsterdam. Rotterdam, The Hague and Utrecht), the region whose dialect was most influential in the development of modern standard Dutch."
192,145,51971,3,1,ovd,4889,650,0.95,Elfdalian,Elfdalian,,NA,NA,5,Lars Steensland,FALSE,elfd1234,8,2,1,0,FALSE,FALSE,NA,,NA,NA,,40,1,2,0,0,NA,Elfdalian,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,61.23,14.03,FALSE,FALSE,FALSE,Set in the town of Älvdalen (Övdaln).
194,145,51973,1,3,ovd,4889,650,0.95,Elfdalian,Elfdalian,,NA,NA,5,Lars Steensland,FALSE,elfd1234,8,2,1,0,FALSE,FALSE,NA,,NA,NA,,40,1,2,0,0,NA,Elfdalian,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,61.23,14.03,FALSE,FALSE,FALSE,Set in the town of Älvdalen (Övdaln).
193,145,51972,2,37,ovd,4889,650,0.95,Elfdalian,Elfdalian,,NA,NA,5,Lars Steensland,FALSE,elfd1234,8,2,1,0,FALSE,FALSE,NA,,NA,NA,,40,1,2,0,0,NA,Elfdalian,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,61.23,14.03,FALSE,FALSE,FALSE,Set in the town of Älvdalen (Övdaln).
